Protein1_STRING_ID	Protein2_STRING_ID	Combined_Score	Protein1_Name	Protein2_Name	Protein1_Ensembl_Gene_ID	Protein2_Ensembl_Gene_ID
10090.ENSMUSP00000004396	10090.ENSMUSP00000013304	999	Atp6v1f	Atp6v0d1	ENSMUSG00000004285	ENSMUSG00000013160
10090.ENSMUSP00000004910	10090.ENSMUSP00000003320	999	Eif2b2	Eif2b5	ENSMUSG00000004788	ENSMUSG00000003235
10090.ENSMUSP00000004949	10090.ENSMUSP00000004330	999	Traf6	Ikbkg	ENSMUSG00000027164	ENSMUSG00000004221
10090.ENSMUSP00000005066	10090.ENSMUSP00000002487	999	Map2k1	Braf	ENSMUSG00000004936	ENSMUSG00000002413
10090.ENSMUSP00000005630	10090.ENSMUSP00000007250	999	Msh4	Msh5	ENSMUSG00000005493	ENSMUSG00000007035
10090.ENSMUSP00000005647	10090.ENSMUSP00000002452	999	Ndufs3	Ndufa11	ENSMUSG00000005510	ENSMUSG00000002379
10090.ENSMUSP00000005647	10090.ENSMUSP00000013737	999	Ndufs3	Ndufs2	ENSMUSG00000005510	ENSMUSG00000013593
10090.ENSMUSP00000005647	10090.ENSMUSP00000014438	999	Ndufs3	Ndufa2	ENSMUSG00000005510	ENSMUSG00000014294
10090.ENSMUSP00000005714	10090.ENSMUSP00000010520	999	Ube2m	Nedd8	ENSMUSG00000005575	ENSMUSG00000010376
10090.ENSMUSP00000005749	10090.ENSMUSP00000003529	999	Ctr9	Paf1	ENSMUSG00000005609	ENSMUSG00000003437
10090.ENSMUSP00000006101	10090.ENSMUSP00000001327	999	Itgae	Itgb7	ENSMUSG00000005947	ENSMUSG00000001281
10090.ENSMUSP00000006178	10090.ENSMUSP00000001559	999	Kptn	Itfg2	ENSMUSG00000006021	ENSMUSG00000001518
10090.ENSMUSP00000006614	10090.ENSMUSP00000003154	999	Epha2	Efna2	ENSMUSG00000006445	ENSMUSG00000003070
10090.ENSMUSP00000006760	10090.ENSMUSP00000000505	999	Cdt1	Mcm7	ENSMUSG00000006585	ENSMUSG00000029730
10090.ENSMUSP00000006760	10090.ENSMUSP00000006898	999	Cdt1	Gmnn	ENSMUSG00000006585	ENSMUSG00000006715
10090.ENSMUSP00000006898	10090.ENSMUSP00000006760	999	Gmnn	Cdt1	ENSMUSG00000006715	ENSMUSG00000006585
10090.ENSMUSP00000006911	10090.ENSMUSP00000000188	999	Cdk4	Ccnd2	ENSMUSG00000006728	ENSMUSG00000000184
10090.ENSMUSP00000007130	10090.ENSMUSP00000000312	999	Ctnnb1	Cdh1	ENSMUSG00000006932	ENSMUSG00000000303
10090.ENSMUSP00000007130	10090.ENSMUSP00000001592	999	Ctnnb1	Jup	ENSMUSG00000006932	ENSMUSG00000001552
10090.ENSMUSP00000007216	10090.ENSMUSP00000003038	999	Ap2m1	Ap2a2	ENSMUSG00000022841	ENSMUSG00000002957
10090.ENSMUSP00000007250	10090.ENSMUSP00000005630	999	Msh5	Msh4	ENSMUSG00000007035	ENSMUSG00000005493
10090.ENSMUSP00000007444	10090.ENSMUSP00000003152	999	Strada	Stk11	ENSMUSG00000069631	ENSMUSG00000003068
10090.ENSMUSP00000007708	10090.ENSMUSP00000009774	999	Ppp2r1a	Ppp2cb	ENSMUSG00000007564	ENSMUSG00000009630
10090.ENSMUSP00000007757	10090.ENSMUSP00000002678	999	Tgfbr1	Tgfb1	ENSMUSG00000007613	ENSMUSG00000002603
10090.ENSMUSP00000007757	10090.ENSMUSP00000003687	999	Tgfbr1	Tgfb3	ENSMUSG00000007613	ENSMUSG00000021253
10090.ENSMUSP00000007799	10090.ENSMUSP00000000058	999	Cav1	Cav2	ENSMUSG00000007655	ENSMUSG00000000058
10090.ENSMUSP00000008517	10090.ENSMUSP00000002529	999	Prpf31	Prpf6	ENSMUSG00000008373	ENSMUSG00000002455
10090.ENSMUSP00000008812	10090.ENSMUSP00000003521	999	Rps18	Rps11	ENSMUSG00000008668	ENSMUSG00000003429
10090.ENSMUSP00000009699	10090.ENSMUSP00000003726	999	Cdk9	Brd4	ENSMUSG00000009555	ENSMUSG00000024002
10090.ENSMUSP00000009774	10090.ENSMUSP00000007708	999	Ppp2cb	Ppp2r1a	ENSMUSG00000009630	ENSMUSG00000007564
10090.ENSMUSP00000010007	10090.ENSMUSP00000000175	999	Sdhb	Sdhd	ENSMUSG00000009863	ENSMUSG00000000171
10090.ENSMUSP00000010520	10090.ENSMUSP00000005714	999	Nedd8	Ube2m	ENSMUSG00000010376	ENSMUSG00000005575
10090.ENSMUSP00000010536	10090.ENSMUSP00000002818	999	Gosr1	Ykt6	ENSMUSG00000010392	ENSMUSG00000002741
10090.ENSMUSP00000010605	10090.ENSMUSP00000000808	999	Il12rb2	Il12rb1	ENSMUSG00000018341	ENSMUSG00000000791
10090.ENSMUSP00000012259	10090.ENSMUSP00000003536	999	Med15	Med29	ENSMUSG00000012114	ENSMUSG00000003444
