STRING_Protein_ID	Ensembl_Protein_ID	Ensembl_Gene_ID	Protein_Name
10090.ENSMUSP00000002640	ENSMUSP00000002640	ENSMUSG00000002565	Scin
10090.ENSMUSP00000002655	ENSMUSP00000002655	ENSMUSG00000002580	Mien1
10090.ENSMUSP00000002663	ENSMUSP00000002663	ENSMUSG00000002588	Pon1
10090.ENSMUSP00000002677	ENSMUSP00000002677	ENSMUSG00000002602	Axl
10090.ENSMUSP00000002678	ENSMUSP00000002678	ENSMUSG00000002603	Tgfb1
10090.ENSMUSP00000002683	ENSMUSP00000002683	ENSMUSG00000002608	Ccdc97
10090.ENSMUSP00000002699	ENSMUSP00000002699	ENSMUSG00000024045	Akap8
10090.ENSMUSP00000002708	ENSMUSP00000002708	ENSMUSG00000002633	Shh
10090.ENSMUSP00000002710	ENSMUSP00000002710	ENSMUSG00000002635	Pdcd2l
10090.ENSMUSP00000002733	ENSMUSP00000002733	ENSMUSG00000002658	Gtf2f1
10090.ENSMUSP00000002735	ENSMUSP00000002735	ENSMUSG00000002660	Clpp
10090.ENSMUSP00000002737	ENSMUSP00000002737	ENSMUSG00000002661	Alkbh7
10090.ENSMUSP00000002740	ENSMUSP00000002740	ENSMUSG00000002664	Pspn
10090.ENSMUSP00000002757	ENSMUSP00000002757	ENSMUSG00000091803	Cox16
10090.ENSMUSP00000002765	ENSMUSP00000002765	ENSMUSG00000002688	Prkd1
10090.ENSMUSP00000002790	ENSMUSP00000002790	ENSMUSG00000002718	Cse1l
10090.ENSMUSP00000002805	ENSMUSP00000002805	ENSMUSG00000002728	Naa20
10090.ENSMUSP00000002808	ENSMUSP00000002808	ENSMUSG00000002731	Prkra
10090.ENSMUSP00000002809	ENSMUSP00000002809	ENSMUSG00000002732	Fkbp7
10090.ENSMUSP00000002818	ENSMUSP00000002818	ENSMUSG00000002741	Ykt6
10090.ENSMUSP00000002825	ENSMUSP00000002825	ENSMUSG00000002748	Baz1b
10090.ENSMUSP00000002837	ENSMUSP00000002837	ENSMUSG00000063406	Tmed5
10090.ENSMUSP00000002839	ENSMUSP00000002839	ENSMUSG00000059409	Ppp2r5d
10090.ENSMUSP00000002840	ENSMUSP00000002840	ENSMUSG00000002763	Pex6
10090.ENSMUSP00000002844	ENSMUSP00000002844	ENSMUSG00000002767	Mrpl2
10090.ENSMUSP00000002846	ENSMUSP00000002846	ENSMUSG00000002769	Gnmt
10090.ENSMUSP00000002848	ENSMUSP00000002848	ENSMUSG00000002771	Grin2d
10090.ENSMUSP00000002850	ENSMUSP00000002850	ENSMUSG00000030834	Abcc6
10090.ENSMUSP00000002855	ENSMUSP00000002855	ENSMUSG00000002778	Kdelr1
10090.ENSMUSP00000002880	ENSMUSP00000002880	ENSMUSG00000002803	Btbd6
10090.ENSMUSP00000002883	ENSMUSP00000002883	ENSMUSG00000021319	Sfrp4
10090.ENSMUSP00000002885	ENSMUSP00000002885	ENSMUSG00000002808	Epdr1
10090.ENSMUSP00000002889	ENSMUSP00000002889	ENSMUSG00000002812	Flii
10090.ENSMUSP00000002891	ENSMUSP00000002891	ENSMUSG00000002814	Top3a
10090.ENSMUSP00000002902	ENSMUSP00000002902	ENSMUSG00000002825	Qtrt1
10090.ENSMUSP00000002914	ENSMUSP00000002914	ENSMUSG00000002835	Chaf1a
10090.ENSMUSP00000002923	ENSMUSP00000002923	ENSMUSG00000002844	Adprh
10090.ENSMUSP00000002924	ENSMUSP00000002924	ENSMUSG00000002845	Tmem39a
10090.ENSMUSP00000002925	ENSMUSP00000002925	ENSMUSG00000002846	Timmdc1
10090.ENSMUSP00000002926	ENSMUSP00000002926	ENSMUSG00000002847	Pla1a
10090.ENSMUSP00000002976	ENSMUSP00000002976	ENSMUSG00000002897	Il17ra
10090.ENSMUSP00000002979	ENSMUSP00000002979	ENSMUSG00000002900	Lamb1
10090.ENSMUSP00000002989	ENSMUSP00000002989	ENSMUSG00000002910	Arrdc2
10090.ENSMUSP00000003017	ENSMUSP00000003017	ENSMUSG00000029925	Tbxas1
10090.ENSMUSP00000003027	ENSMUSP00000003027	ENSMUSG00000002948	Map2k7
10090.ENSMUSP00000003029	ENSMUSP00000003029	ENSMUSG00000002949	Timm44
10090.ENSMUSP00000003035	ENSMUSP00000003035	ENSMUSG00000030768	Disp1
10090.ENSMUSP00000003038	ENSMUSP00000003038	ENSMUSG00000002957	Ap2a2
10090.ENSMUSP00000003044	ENSMUSP00000003044	ENSMUSG00000002963	Pnkp
10090.ENSMUSP00000003049	ENSMUSP00000003049	ENSMUSG00000002968	Med25
10090.ENSMUSP00000003061	ENSMUSP00000003061	ENSMUSG00000002980	Bcam
10090.ENSMUSP00000003071	ENSMUSP00000003071	ENSMUSG00000074336	Apoc4
10090.ENSMUSP00000003100	ENSMUSP00000003100	ENSMUSG00000052974	Cyp2f2
10090.ENSMUSP00000003117	ENSMUSP00000003117	ENSMUSG00000003033	Ap1m1
10090.ENSMUSP00000003121	ENSMUSP00000003121	ENSMUSG00000003037	Rab8a
10090.ENSMUSP00000003123	ENSMUSP00000003123	ENSMUSG00000003039	Fam32a
10090.ENSMUSP00000003135	ENSMUSP00000003135	ENSMUSG00000003051	Elf3
10090.ENSMUSP00000003137	ENSMUSP00000003137	ENSMUSG00000003053	Cyp2c29
10090.ENSMUSP00000003152	ENSMUSP00000003152	ENSMUSG00000003068	Stk11
10090.ENSMUSP00000003154	ENSMUSP00000003154	ENSMUSG00000003070	Efna2
10090.ENSMUSP00000003183	ENSMUSP00000003183	ENSMUSG00000003099	Ppp5c
10090.ENSMUSP00000003207	ENSMUSP00000003207	ENSMUSG00000003123	Lipe
10090.ENSMUSP00000003238	ENSMUSP00000003238	ENSMUSG00000003154	Foxj2
10090.ENSMUSP00000003268	ENSMUSP00000003268	ENSMUSG00000003200	Sh3gl1
10090.ENSMUSP00000003274	ENSMUSP00000003274	ENSMUSG00000003206	Ebi3
10090.ENSMUSP00000003284	ENSMUSP00000003284	ENSMUSG00000003184	Irf3
10090.ENSMUSP00000003290	ENSMUSP00000003290	ENSMUSG00000003190	Bcl2l12
10090.ENSMUSP00000003310	ENSMUSP00000003310	ENSMUSG00000003226	Ranbp2
10090.ENSMUSP00000003312	ENSMUSP00000003312	ENSMUSG00000003227	Edar
10090.ENSMUSP00000003313	ENSMUSP00000003313	ENSMUSG00000003228	Grk5
10090.ENSMUSP00000003319	ENSMUSP00000003319	ENSMUSG00000003234	Abcf3
10090.ENSMUSP00000003320	ENSMUSP00000003320	ENSMUSG00000003235	Eif2b5
10090.ENSMUSP00000003360	ENSMUSP00000003360	ENSMUSG00000003273	Car11
10090.ENSMUSP00000003369	ENSMUSP00000003369	ENSMUSG00000003282	Plag1
10090.ENSMUSP00000003370	ENSMUSP00000003370	ENSMUSG00000003283	Hck
10090.ENSMUSP00000003386	ENSMUSP00000003386	ENSMUSG00000003299	Mrpl4
10090.ENSMUSP00000003436	ENSMUSP00000003436	ENSMUSG00000003346	Abhd17a
10090.ENSMUSP00000003438	ENSMUSP00000003438	ENSMUSG00000003348	Mob3a
10090.ENSMUSP00000003444	ENSMUSP00000003444	ENSMUSG00000003354	Ccdc65
10090.ENSMUSP00000003445	ENSMUSP00000003445	ENSMUSG00000003355	Fkbp11
10090.ENSMUSP00000003450	ENSMUSP00000003450	ENSMUSG00000003360	Ddx23
10090.ENSMUSP00000003451	ENSMUSP00000003451	ENSMUSG00000054855	Rnd1
10090.ENSMUSP00000003459	ENSMUSP00000003459	ENSMUSG00000020437	Myo1g
10090.ENSMUSP00000003468	ENSMUSP00000003468	ENSMUSG00000003378	Grik5
10090.ENSMUSP00000003469	ENSMUSP00000003469	ENSMUSG00000003379	Cd79a
10090.ENSMUSP00000003501	ENSMUSP00000003501	ENSMUSG00000003410	Elavl3
10090.ENSMUSP00000003509	ENSMUSP00000003509	ENSMUSG00000003418	St8sia6
10090.ENSMUSP00000003512	ENSMUSP00000003512	ENSMUSG00000003420	Fcgrt
10090.ENSMUSP00000003513	ENSMUSP00000003513	ENSMUSG00000003421	Nosip
10090.ENSMUSP00000003521	ENSMUSP00000003521	ENSMUSG00000003429	Rps11
10090.ENSMUSP00000003529	ENSMUSP00000003529	ENSMUSG00000003437	Paf1
10090.ENSMUSP00000003536	ENSMUSP00000003536	ENSMUSG00000003444	Med29
10090.ENSMUSP00000003550	ENSMUSP00000003550	ENSMUSG00000003458	Ncstn
10090.ENSMUSP00000003554	ENSMUSP00000003554	ENSMUSG00000007122	Casq1
10090.ENSMUSP00000003561	ENSMUSP00000003561	ENSMUSG00000003469	Phyhip
10090.ENSMUSP00000003569	ENSMUSP00000003569	ENSMUSG00000003477	Inmt
10090.ENSMUSP00000003572	ENSMUSP00000003572	ENSMUSG00000029777	Gars
10090.ENSMUSP00000003574	ENSMUSP00000003574	ENSMUSG00000003484	Cyp4f18
10090.ENSMUSP00000003575	ENSMUSP00000003575	ENSMUSG00000031799	Tpm4
10090.ENSMUSP00000003597	ENSMUSP00000003597	ENSMUSG00000003505	Psg18
10090.ENSMUSP00000003599	ENSMUSP00000003599	ENSMUSG00000103088	Pcdhgb6
10090.ENSMUSP00000003620	ENSMUSP00000003620	ENSMUSG00000003526	Prodh
10090.ENSMUSP00000003621	ENSMUSP00000003621	ENSMUSG00000003527	Ess2
10090.ENSMUSP00000003622	ENSMUSP00000003622	ENSMUSG00000003528	Slc25a1
10090.ENSMUSP00000003635	ENSMUSP00000003635	ENSMUSG00000003541	Ier3
10090.ENSMUSP00000003640	ENSMUSP00000003640	ENSMUSG00000003545	Fosb
10090.ENSMUSP00000003642	ENSMUSP00000003642	ENSMUSG00000003546	Klc4
10090.ENSMUSP00000003645	ENSMUSP00000003645	ENSMUSG00000003549	Ercc1
10090.ENSMUSP00000003655	ENSMUSP00000003655	ENSMUSG00000003559	As3mt
10090.ENSMUSP00000003659	ENSMUSP00000003659	ENSMUSG00000031849	Comp
10090.ENSMUSP00000003677	ENSMUSP00000003677	ENSMUSG00000003581	Rnf215
10090.ENSMUSP00000003681	ENSMUSP00000003681	ENSMUSG00000003585	Sec14l2
10090.ENSMUSP00000003687	ENSMUSP00000003687	ENSMUSG00000021253	Tgfb3
10090.ENSMUSP00000003705	ENSMUSP00000003705	ENSMUSG00000003604	Aven
10090.ENSMUSP00000003717	ENSMUSP00000003717	ENSMUSG00000042476	Abcb4
10090.ENSMUSP00000003720	ENSMUSP00000003720	ENSMUSG00000003623	Crot
10090.ENSMUSP00000003726	ENSMUSP00000003726	ENSMUSG00000024002	Brd4
10090.ENSMUSP00000003754	ENSMUSP00000003754	ENSMUSG00000003657	Calb2
10090.ENSMUSP00000003759	ENSMUSP00000003759	ENSMUSG00000003662	Ciao1
10090.ENSMUSP00000003762	ENSMUSP00000003762	ENSMUSG00000003665	Has1
10090.ENSMUSP00000003808	ENSMUSP00000003808	ENSMUSG00000038508	Gdf15
10090.ENSMUSP00000003818	ENSMUSP00000003818	ENSMUSG00000003721	Insig2
10090.ENSMUSP00000003826	ENSMUSP00000003826	ENSMUSG00000032269	Htr3a
10090.ENSMUSP00000003843	ENSMUSP00000003843	ENSMUSG00000003746	Man1a
10090.ENSMUSP00000003850	ENSMUSP00000003850	ENSMUSG00000003752	Itpkc
10090.ENSMUSP00000003857	ENSMUSP00000003857	ENSMUSG00000089832	Shkbp1
10090.ENSMUSP00000003870	ENSMUSP00000003870	ENSMUSG00000025025	Mxi1
10090.ENSMUSP00000003876	ENSMUSP00000003876	ENSMUSG00000003778	Brd8
10090.ENSMUSP00000003898	ENSMUSP00000003898	ENSMUSG00000022842	Ece2
10090.ENSMUSP00000003906	ENSMUSP00000003906	ENSMUSG00000003808	Farsa
10090.ENSMUSP00000003907	ENSMUSP00000003907	ENSMUSG00000003809	Gcdh
10090.ENSMUSP00000003910	ENSMUSP00000003910	ENSMUSG00000003812	Dnase2a
10090.ENSMUSP00000003912	ENSMUSP00000003912	ENSMUSG00000003814	Calr
10090.ENSMUSP00000003946	ENSMUSP00000003946	ENSMUSG00000003848	Nob1
10090.ENSMUSP00000003947	ENSMUSP00000003947	ENSMUSG00000003849	Nqo1
10090.ENSMUSP00000003961	ENSMUSP00000003961	ENSMUSG00000003863	Ppfia3
10090.ENSMUSP00000003964	ENSMUSP00000003964	ENSMUSG00000003865	Gys1
10090.ENSMUSP00000003971	ENSMUSP00000003971	ENSMUSG00000003872	Lin7b
10090.ENSMUSP00000003981	ENSMUSP00000003981	ENSMUSG00000003882	Il7r
10090.ENSMUSP00000004036	ENSMUSP00000004036	ENSMUSG00000003934	Efnb3
10090.ENSMUSP00000004050	ENSMUSP00000004050	ENSMUSG00000003948	Mmd
10090.ENSMUSP00000004051	ENSMUSP00000004051	ENSMUSG00000003949	Hlf
10090.ENSMUSP00000004054	ENSMUSP00000004054	ENSMUSG00000022905	Kpna1
10090.ENSMUSP00000004057	ENSMUSP00000004057	ENSMUSG00000003955	Fam162a
10090.ENSMUSP00000004076	ENSMUSP00000004076	ENSMUSG00000003974	Grm3
10090.ENSMUSP00000004094	ENSMUSP00000004094	ENSMUSG00000003992	Ssbp2
10090.ENSMUSP00000004120	ENSMUSP00000004120	ENSMUSG00000004018	Fancl
10090.ENSMUSP00000004133	ENSMUSP00000004133	ENSMUSG00000004031	Brinp2
10090.ENSMUSP00000004134	ENSMUSP00000004134	ENSMUSG00000004032	Gstm5
10090.ENSMUSP00000004136	ENSMUSP00000004136	ENSMUSG00000004038	Gstm3
10090.ENSMUSP00000004137	ENSMUSP00000004137	ENSMUSG00000004035	Gstm7
10090.ENSMUSP00000004140	ENSMUSP00000004140	ENSMUSG00000058135	Gstm1
10090.ENSMUSP00000004156	ENSMUSP00000004156	ENSMUSG00000004054	Map3k11
10090.ENSMUSP00000004172	ENSMUSP00000004172	ENSMUSG00000004070	Hmox2
10090.ENSMUSP00000004173	ENSMUSP00000004173	ENSMUSG00000004071	Cdip1
10090.ENSMUSP00000004200	ENSMUSP00000004200	ENSMUSG00000004096	Cwc15
10090.ENSMUSP00000004201	ENSMUSP00000004201	ENSMUSG00000004098	Col5a3
10090.ENSMUSP00000004202	ENSMUSP00000004202	ENSMUSG00000004099	Dnmt1
10090.ENSMUSP00000004203	ENSMUSP00000004203	ENSMUSG00000004100	Ppan
10090.ENSMUSP00000004206	ENSMUSP00000004206	ENSMUSG00000070319	Eif3g
10090.ENSMUSP00000004208	ENSMUSP00000004208	ENSMUSG00000004105	Angptl2
10090.ENSMUSP00000004222	ENSMUSP00000004222	ENSMUSG00000022702	Hira
10090.ENSMUSP00000004232	ENSMUSP00000004232	ENSMUSG00000074207	Adh1
10090.ENSMUSP00000004281	ENSMUSP00000004281	ENSMUSG00000028630	Dyrk2
10090.ENSMUSP00000004294	ENSMUSP00000004294	ENSMUSG00000004187	Kifc2
10090.ENSMUSP00000004326	ENSMUSP00000004326	ENSMUSG00000031398	Plxna3
10090.ENSMUSP00000004327	ENSMUSP00000004327	ENSMUSG00000031400	G6pdx
10090.ENSMUSP00000004330	ENSMUSP00000004330	ENSMUSG00000004221	Ikbkg
10090.ENSMUSP00000004343	ENSMUSP00000004343	ENSMUSG00000004233	Wars2
10090.ENSMUSP00000004375	ENSMUSP00000004375	ENSMUSG00000004264	Phb2
10090.ENSMUSP00000004377	ENSMUSP00000004377	ENSMUSG00000004266	Ptpn6
10090.ENSMUSP00000004378	ENSMUSP00000004378	ENSMUSG00000004267	Eno2
10090.ENSMUSP00000004379	ENSMUSP00000004379	ENSMUSG00000004268	Emg1
10090.ENSMUSP00000004381	ENSMUSP00000004381	ENSMUSG00000004270	Lpcat3
10090.ENSMUSP00000004389	ENSMUSP00000004389	ENSMUSG00000072772	Grcc10
10090.ENSMUSP00000004396	ENSMUSP00000004396	ENSMUSG00000004285	Atp6v1f
10090.ENSMUSP00000004430	ENSMUSP00000004430	ENSMUSG00000004319	Clcn3
10090.ENSMUSP00000004453	ENSMUSP00000004453	ENSMUSG00000004341	Gpx6
10090.ENSMUSP00000004470	ENSMUSP00000004470	ENSMUSG00000004356	Utp20
10090.ENSMUSP00000004473	ENSMUSP00000004473	ENSMUSG00000004359	Spic
10090.ENSMUSP00000004480	ENSMUSP00000004480	ENSMUSG00000004366	Sst
10090.ENSMUSP00000004494	ENSMUSP00000004494	ENSMUSG00000031622	Sin3b
10090.ENSMUSP00000004505	ENSMUSP00000004505	ENSMUSG00000020447	Npc1l1
10090.ENSMUSP00000004507	ENSMUSP00000004507	ENSMUSG00000004393	Ddx56
10090.ENSMUSP00000004508	ENSMUSP00000004508	ENSMUSG00000004394	Tmed4
10090.ENSMUSP00000004560	ENSMUSP00000004560	ENSMUSG00000004446	Bid
10090.ENSMUSP00000004565	ENSMUSP00000004565	ENSMUSG00000004451	Ralb
10090.ENSMUSP00000004576	ENSMUSP00000004576	ENSMUSG00000004462	Tbccd1
10090.ENSMUSP00000004587	ENSMUSP00000004587	ENSMUSG00000004473	Clec11a
10090.ENSMUSP00000004614	ENSMUSP00000004614	ENSMUSG00000058638	Zfp110
10090.ENSMUSP00000004622	ENSMUSP00000004622	ENSMUSG00000004508	Gab2
10090.ENSMUSP00000004646	ENSMUSP00000004646	ENSMUSG00000004530	Coro1c
10090.ENSMUSP00000004655	ENSMUSP00000004655	ENSMUSG00000004540	Psg17
10090.ENSMUSP00000004657	ENSMUSP00000004657	ENSMUSG00000004542	Psg19
10090.ENSMUSP00000004673	ENSMUSP00000004673	ENSMUSG00000004558	Ndrg2
10090.ENSMUSP00000004683	ENSMUSP00000004683	ENSMUSG00000004567	Mcoln1
10090.ENSMUSP00000004684	ENSMUSP00000004684	ENSMUSG00000004568	Arhgef18
10090.ENSMUSP00000004686	ENSMUSP00000004686	ENSMUSG00000069633	Pex11g
10090.ENSMUSP00000004715	ENSMUSP00000004715	ENSMUSG00000061778	Mospd2
10090.ENSMUSP00000004728	ENSMUSP00000004728	ENSMUSG00000004609	Cd33
10090.ENSMUSP00000004729	ENSMUSP00000004729	ENSMUSG00000004610	Etfb
10090.ENSMUSP00000004732	ENSMUSP00000004732	ENSMUSG00000118560	Lim2
10090.ENSMUSP00000004756	ENSMUSP00000004756	ENSMUSG00000004637	Wwox
10090.ENSMUSP00000004770	ENSMUSP00000004770	ENSMUSG00000004651	Tyr
10090.ENSMUSP00000004774	ENSMUSP00000004774	ENSMUSG00000004655	Aqp1
10090.ENSMUSP00000004784	ENSMUSP00000004784	ENSMUSG00000004665	Cnn2
10090.ENSMUSP00000004786	ENSMUSP00000004786	ENSMUSG00000004667	Polr2e
10090.ENSMUSP00000004829	ENSMUSP00000004829	ENSMUSG00000004709	Cd244a
10090.ENSMUSP00000004868	ENSMUSP00000004868	ENSMUSG00000004748	Mtfp1
10090.ENSMUSP00000004910	ENSMUSP00000004910	ENSMUSG00000004788	Eif2b2
10090.ENSMUSP00000004913	ENSMUSP00000004913	ENSMUSG00000004791	Pgf
10090.ENSMUSP00000004920	ENSMUSP00000004920	ENSMUSG00000004798	Ulk2
10090.ENSMUSP00000004936	ENSMUSP00000004936	ENSMUSG00000004814	Ccl24
10090.ENSMUSP00000004943	ENSMUSP00000004943	ENSMUSG00000004821	Tmed11
10090.ENSMUSP00000004949	ENSMUSP00000004949	ENSMUSG00000027164	Traf6
10090.ENSMUSP00000004955	ENSMUSP00000004955	ENSMUSG00000020528	Prpsap2
10090.ENSMUSP00000004959	ENSMUSP00000004959	ENSMUSG00000004837	Grap
10090.ENSMUSP00000004965	ENSMUSP00000004965	ENSMUSG00000004843	Chmp2b
10090.ENSMUSP00000004968	ENSMUSP00000004968	ENSMUSG00000004846	Plod3
10090.ENSMUSP00000004985	ENSMUSP00000004985	ENSMUSG00000063952	Brpf3
10090.ENSMUSP00000004990	ENSMUSP00000004990	ENSMUSG00000053436	Mapk14
10090.ENSMUSP00000004994	ENSMUSP00000004994	ENSMUSG00000004872	Pax3
10090.ENSMUSP00000005003	ENSMUSP00000005003	ENSMUSG00000004880	Lbr
10090.ENSMUSP00000005014	ENSMUSP00000005014	ENSMUSG00000004894	Hapln2
10090.ENSMUSP00000005015	ENSMUSP00000005015	ENSMUSG00000004895	Prcc
10090.ENSMUSP00000005016	ENSMUSP00000005016	ENSMUSG00000004896	Rrnad1
10090.ENSMUSP00000005017	ENSMUSP00000005017	ENSMUSG00000004897	Hdgf
10090.ENSMUSP00000005019	ENSMUSP00000005019	ENSMUSG00000004885	Crabp2
10090.ENSMUSP00000005053	ENSMUSP00000005053	ENSMUSG00000004945	Tmem242
10090.ENSMUSP00000005057	ENSMUSP00000005057	ENSMUSG00000004929	Thop1
10090.ENSMUSP00000005064	ENSMUSP00000005064	ENSMUSG00000004934	Pias4
10090.ENSMUSP00000005066	ENSMUSP00000005066	ENSMUSG00000004936	Map2k1
10090.ENSMUSP00000005067	ENSMUSP00000005067	ENSMUSG00000004937	Sgta
10090.ENSMUSP00000005069	ENSMUSP00000005069	ENSMUSG00000004939	Nmrk2
10090.ENSMUSP00000005073	ENSMUSP00000005073	ENSMUSG00000004948	Zp3
10090.ENSMUSP00000005077	ENSMUSP00000005077	ENSMUSG00000004951	Hspb1
10090.ENSMUSP00000005103	ENSMUSP00000005103	ENSMUSG00000029832	Nfe2l3
10090.ENSMUSP00000005108	ENSMUSP00000005108	ENSMUSG00000030180	Kdm5a
10090.ENSMUSP00000005114	ENSMUSP00000005114	ENSMUSG00000004988	Fxyd4
10090.ENSMUSP00000005164	ENSMUSP00000005164	ENSMUSG00000005034	Prkacb
10090.ENSMUSP00000005173	ENSMUSP00000005173	ENSMUSG00000005043	Sgsh
10090.ENSMUSP00000005185	ENSMUSP00000005185	ENSMUSG00000005054	Cstb
10090.ENSMUSP00000005188	ENSMUSP00000005188	ENSMUSG00000005057	Sh2b2
10090.ENSMUSP00000005218	ENSMUSP00000005218	ENSMUSG00000005087	Cd44
10090.ENSMUSP00000005233	ENSMUSP00000005233	ENSMUSG00000005102	Eif2ak4
10090.ENSMUSP00000005234	ENSMUSP00000005234	ENSMUSG00000005103	Wdr1
10090.ENSMUSP00000005255	ENSMUSP00000005255	ENSMUSG00000005124	Ccn4
10090.ENSMUSP00000005256	ENSMUSP00000005256	ENSMUSG00000005125	Ndrg1
10090.ENSMUSP00000005262	ENSMUSP00000005262	ENSMUSG00000005131	4930550C14Rik
10090.ENSMUSP00000005279	ENSMUSP00000005279	ENSMUSG00000005148	Klf5
10090.ENSMUSP00000005334	ENSMUSP00000005334	ENSMUSG00000005202	Shbg
10090.ENSMUSP00000005336	ENSMUSP00000005336	ENSMUSG00000005204	Senp3
10090.ENSMUSP00000005352	ENSMUSP00000005352	ENSMUSG00000005220	Corin
10090.ENSMUSP00000005364	ENSMUSP00000005364	ENSMUSG00000005232	G6pc2
10090.ENSMUSP00000005406	ENSMUSP00000005406	ENSMUSG00000022892	App
10090.ENSMUSP00000005413	ENSMUSP00000005413	ENSMUSG00000052675	Zfp112
10090.ENSMUSP00000005431	ENSMUSP00000005431	ENSMUSG00000005299	Letm1
10090.ENSMUSP00000005452	ENSMUSP00000005452	ENSMUSG00000005320	Fgfr4
10090.ENSMUSP00000005488	ENSMUSP00000005488	ENSMUSG00000005355	Casp14
10090.ENSMUSP00000005490	ENSMUSP00000005490	ENSMUSG00000005357	Slc1a6
10090.ENSMUSP00000005493	ENSMUSP00000005493	ENSMUSG00000005360	Slc1a3
10090.ENSMUSP00000005503	ENSMUSP00000005503	ENSMUSG00000005370	Msh6
10090.ENSMUSP00000005504	ENSMUSP00000005504	ENSMUSG00000005371	Fbxo11
10090.ENSMUSP00000005507	ENSMUSP00000005507	ENSMUSG00000005373	Mlxipl
10090.ENSMUSP00000005509	ENSMUSP00000005509	ENSMUSG00000007207	Stx1a
10090.ENSMUSP00000005532	ENSMUSP00000005532	ENSMUSG00000005397	Nid1
10090.ENSMUSP00000005548	ENSMUSP00000005548	ENSMUSG00000005413	Hmox1
10090.ENSMUSP00000005583	ENSMUSP00000005583	ENSMUSG00000005447	Pafah1b3
10090.ENSMUSP00000005592	ENSMUSP00000005592	ENSMUSG00000030468	Siglecg
10090.ENSMUSP00000005600	ENSMUSP00000005600	ENSMUSG00000031706	Rfx1
10090.ENSMUSP00000005601	ENSMUSP00000005601	ENSMUSG00000005465	Il27ra
10090.ENSMUSP00000005606	ENSMUSP00000005606	ENSMUSG00000005469	Prkaca
10090.ENSMUSP00000005607	ENSMUSP00000005607	ENSMUSG00000005470	Asf1b
10090.ENSMUSP00000005611	ENSMUSP00000005611	ENSMUSG00000005474	Myl10
10090.ENSMUSP00000005620	ENSMUSP00000005620	ENSMUSG00000005483	Dnajb1
10090.ENSMUSP00000005630	ENSMUSP00000005630	ENSMUSG00000005493	Msh4
10090.ENSMUSP00000005647	ENSMUSP00000005647	ENSMUSG00000005510	Ndufs3
10090.ENSMUSP00000005651	ENSMUSP00000005651	ENSMUSG00000005514	Por
10090.ENSMUSP00000005669	ENSMUSP00000005669	ENSMUSG00000040583	Cyp2b13
10090.ENSMUSP00000005671	ENSMUSP00000005671	ENSMUSG00000005533	Igf1r
10090.ENSMUSP00000005678	ENSMUSP00000005678	ENSMUSG00000005540	Fcer2a
10090.ENSMUSP00000005685	ENSMUSP00000005685	ENSMUSG00000005547	Cyp2a5
10090.ENSMUSP00000005692	ENSMUSP00000005692	ENSMUSG00000005553	Atp4a
10090.ENSMUSP00000005705	ENSMUSP00000005705	ENSMUSG00000005566	Trim28
10090.ENSMUSP00000005711	ENSMUSP00000005711	ENSMUSG00000033916	Chmp2a
10090.ENSMUSP00000005714	ENSMUSP00000005714	ENSMUSG00000005575	Ube2m
10090.ENSMUSP00000005749	ENSMUSP00000005749	ENSMUSG00000005609	Ctr9
10090.ENSMUSP00000005791	ENSMUSP00000005791	ENSMUSG00000005649	Cabp5
10090.ENSMUSP00000005798	ENSMUSP00000005798	ENSMUSG00000005656	Snx6
10090.ENSMUSP00000005810	ENSMUSP00000005810	ENSMUSG00000005667	Mthfd2
10090.ENSMUSP00000005815	ENSMUSP00000005815	ENSMUSG00000005672	Kit
10090.ENSMUSP00000005817	ENSMUSP00000005817	ENSMUSG00000005674	Tomm40l
10090.ENSMUSP00000005820	ENSMUSP00000005820	ENSMUSG00000005677	Nr1i3
10090.ENSMUSP00000005825	ENSMUSP00000005825	ENSMUSG00000005682	Pan2
10090.ENSMUSP00000005826	ENSMUSP00000005826	ENSMUSG00000005683	Cs
10090.ENSMUSP00000005829	ENSMUSP00000005829	ENSMUSG00000005686	Ampd3
10090.ENSMUSP00000005830	ENSMUSP00000005830	ENSMUSG00000005687	Bcas2
10090.ENSMUSP00000005841	ENSMUSP00000005841	ENSMUSG00000005698	Ctcf
10090.ENSMUSP00000005860	ENSMUSP00000005860	ENSMUSG00000005716	Pvalb
10090.ENSMUSP00000005862	ENSMUSP00000005862	ENSMUSG00000005718	Tfap4
10090.ENSMUSP00000005889	ENSMUSP00000005889	ENSMUSG00000034116	Vav1
10090.ENSMUSP00000005891	ENSMUSP00000005891	ENSMUSG00000047884	Klk9
10090.ENSMUSP00000005923	ENSMUSP00000005923	ENSMUSG00000005779	Psmb4
10090.ENSMUSP00000005933	ENSMUSP00000005933	ENSMUSG00000038968	Klk1b16
10090.ENSMUSP00000005950	ENSMUSP00000005950	ENSMUSG00000049723	Mmp12
10090.ENSMUSP00000005952	ENSMUSP00000005952	ENSMUSG00000005802	Slc30a4
10090.ENSMUSP00000005954	ENSMUSP00000005954	ENSMUSG00000005804	Bloc1s6
10090.ENSMUSP00000005964	ENSMUSP00000005964	ENSMUSG00000028138	Adh5
10090.ENSMUSP00000005976	ENSMUSP00000005976	ENSMUSG00000005824	Tnfsf14
10090.ENSMUSP00000006005	ENSMUSP00000006005	ENSMUSG00000032492	Pth1r
10090.ENSMUSP00000006020	ENSMUSP00000006020	ENSMUSG00000005864	Cnga2
