STRING_Protein_ID	Ensembl_Protein_ID	Ensembl_Gene_ID	Protein_Name
10090.ENSMUSP00000000608	ENSMUSP00000000608	ENSMUSG00000000594	Gm2a
10090.ENSMUSP00000000619	ENSMUSP00000000619	ENSMUSG00000000605	Clcn4
10090.ENSMUSP00000000641	ENSMUSP00000000641	ENSMUSG00000000627	Sema4f
10090.ENSMUSP00000000642	ENSMUSP00000000642	ENSMUSG00000000628	Hk2
10090.ENSMUSP00000000687	ENSMUSP00000000687	ENSMUSG00000000673	Haao
10090.ENSMUSP00000000696	ENSMUSP00000000696	ENSMUSG00000000682	Cd52
10090.ENSMUSP00000000707	ENSMUSP00000000707	ENSMUSG00000000693	Loxl3
10090.ENSMUSP00000000717	ENSMUSP00000000717	ENSMUSG00000000701	Tcl1b5
10090.ENSMUSP00000000718	ENSMUSP00000000718	ENSMUSG00000079007	Tcl1b4
10090.ENSMUSP00000000724	ENSMUSP00000000724	ENSMUSG00000000708	Kat2b
10090.ENSMUSP00000000727	ENSMUSP00000000727	ENSMUSG00000000711	Rab5b
10090.ENSMUSP00000000755	ENSMUSP00000000755	ENSMUSG00000000739	Sult5a1
10090.ENSMUSP00000000756	ENSMUSP00000000756	ENSMUSG00000000740	Rpl13
10090.ENSMUSP00000000759	ENSMUSP00000000759	ENSMUSG00000000743	Chmp1a
10090.ENSMUSP00000000767	ENSMUSP00000000767	ENSMUSG00000000751	Rpa1
10090.ENSMUSP00000000769	ENSMUSP00000000769	ENSMUSG00000000753	Serpinf1
10090.ENSMUSP00000000776	ENSMUSP00000000776	ENSMUSG00000000759	Tubgcp3
10090.ENSMUSP00000000804	ENSMUSP00000000804	ENSMUSG00000000787	Ddx3x
10090.ENSMUSP00000000808	ENSMUSP00000000808	ENSMUSG00000000791	Il12rb1
10090.ENSMUSP00000000809	ENSMUSP00000000809	ENSMUSG00000000792	Slc5a5
10090.ENSMUSP00000000811	ENSMUSP00000000811	ENSMUSG00000000794	Kcnn3
10090.ENSMUSP00000000828	ENSMUSP00000000828	ENSMUSG00000000811	Txnrd3
10090.ENSMUSP00000000834	ENSMUSP00000000834	ENSMUSG00000000817	Fasl
10090.ENSMUSP00000000889	ENSMUSP00000000889	ENSMUSG00000000869	Il4
10090.ENSMUSP00000000895	ENSMUSP00000000895	ENSMUSG00000027489	Necab3
10090.ENSMUSP00000000896	ENSMUSP00000000896	ENSMUSG00000000876	Pxmp4
10090.ENSMUSP00000000910	ENSMUSP00000000910	ENSMUSG00000000889	Dbh
10090.ENSMUSP00000000924	ENSMUSP00000000924	ENSMUSG00000000901	Mmp11
10090.ENSMUSP00000000925	ENSMUSP00000000925	ENSMUSG00000000902	Smarcb1
